lemma	core_rank	frequency	pmw
する	15	624390	7640.8990149
事	16	611815	7487.0139349
ない	18	550403	6735.4918248
から	20	436569	5342.4616698
か	25	403013	4931.8240758
言う	26	401842	4917.4941013
物	39	261327	3197.9583543
思う	42	218107	2669.0586996
ね	49	180964	2214.5256159
時	59	160243	1960.9548212
人	45	139504	1707.1637537
そう	74	126282	1545.3610875
行く	66	122421	1498.1125551
中	67	116112	1420.9069114
何	124	114988	1407.1520939
居る	68	110862	1356.6606553
自分	72	98076	1200.1934877
どう	78	97635	1194.7968022
場合	92	95829	1172.6960901
方	112	94661	1158.4028278
二	55	90642	1109.2207891
一	61	90547	1108.0582378
所	94	85605	1047.5810954
持つ	85	81990	1003.3429591
分かる	88	81931	1002.6209536
行う	58	78596	961.8092842
より	84	65251	798.5014200
し	106	64128	784.7588399
そして	131	62695	767.2226713
もう	121	62547	765.4115388
聞く	101	61417	751.5832970
知る	108	61370	751.0081400
こう	116	59031	722.3849033
三	82	58804	719.6070175
後	136	57153	699.4030997
入る	110	57030	697.8979017
今	113	56580	692.3910797
使う	99	56132	686.9087325
気	126	54996	673.0070665
一つ	128	54023	661.1000937
ほど	120	53738	657.6124398
取る	135	51763	633.4436101
作る	108	51462	629.7601581
問題	125	50113	613.2519296
前	137	49796	609.3726795
手	154	44198	540.8678144
上	175	43585	533.3662992
内	130	42781	523.5274440
次	230	41871	512.3914263
話	146	40755	498.7345078
付く	180	39939	488.7488040
そんな	152	39805	487.1089948
他	137	39581	484.3678212
書く	161	38303	468.7284469
間	181	37555	459.5748851
入れる	162	37418	457.8983637
四	132	37381	457.4455806
顔	200	37107	454.0925379
言葉	187	36732	449.5035196
でも	181	36704	449.1608729
付ける	185	35746	437.4374609
国	111	35076	429.2384148
少し	197	35042	428.8223439
高い	107	34685	424.4535984
男	215	34235	418.9467765
出す	186	33936	415.2877992
声	211	33372	408.3859157
未だ	205	33020	404.0783572
人間	212	32617	399.1466922
